disease	study id	women (cases)	women (controls)	men (cases)	men (controls)
OvaryCancer	GSE15578	4	6	0	0
OvaryCancer	GSE18520	43	10	0	0
OvaryCancer	GSE27651	37	6	0	0
PancreaticCarcinoma	GSE16515	16	4	20	12
PancreaticCarcinoma	GSE22780	4	3	4	3
PancreaticDuctalAdenocarcinoma	GSE15471	19	18	20	20
PancreaticDuctalAdenocarcinoma	GSE32676	12	5	13	2
PancreaticDuctalAdenocarcinoma	GSE71989	9	3	5	5
ParkinsonsDisease	GSE7621	3	5	14	4
PCOS	GSE6798	16	13	0	0
PeripheralArterialDisease	GSE27034	6	5	13	13
PilocyticAstrocytoma	GSE44971	23	3	26	6
PilocyticAstrocytoma	GSE50161	8	0	7	12
PilocyticAstrocytoma	GSE66354	8	0	7	12
POLG1	GSE18715	5	5	1	7
PolycythemiaVera	GSE26049	18	8	21	13
PolymyalgiaRheumatica	EMTAB3671	12	12	4	8
PrimaryMyelofibrosis	GSE26049	7	8	3	13
ProstateCancer	GSE26910	0	0	6	6
ProstateCancer	GSE3325	0	0	7	6
Psoriasis	GSE13355	29	32	29	32
RenalCancer	GSE12606	0	0	3	4
RenalCancer	GSE36895	14	11	14	12
RenalCancer	GSE53757	21	20	50	52
RenalCancer	GSE66270	5	3	9	11
RhabdoidTumor	GSE66354	7	0	10	12
RosaceaErythematotelangiectatic	GSE65914	10	16	4	4
RosaceaPapulopustular	GSE65914	2	16	10	4
RosaceaPhymatous	GSE65914	2	16	10	4
Sarcoidosis	GSE16538	3	4	3	2
Sarcoidosis	GSE18781	9	20	3	5
Schizophrenia	GSE17612	9	11	19	12
Schizophrenia	GSE21138	5	5	25	24
Schizophrenia	GSE21935	10	9	13	10
Schizophrenia	GSE27383	0	0	43	29
Schizophrenia	GSE53987	22	23	26	32
SeborrheicKeratosis	GSE22998	1	1	3	3
SepticShock	GSE66099	72	23	104	23
SetleisSyndrome	GSE16524	3	3	1	1
SickleCellAnemia	GSE16728	10	6	2	9
SjogrensSyndrome	GSE23117	10	4	0	0
SjogrensSyndrome	GSE40568	5	3	0	0
SLE	GSE50772	59	11	2	9
Smoker	GSE11784	21	23	51	40
Smoker	GSE13933	3	11	18	21
Smoker	GSE19722	7	8	19	14
Smoker	GSE37768	1	3	10	6
Smoker	GSE8823	1	3	12	8
SotosSyndrome	GSE27200	6	4	12	14
SubsyndromalSymptomaticDepression	GSE32280	8	4	5	4
TcellLymphoma	GSE19069	42	0	63	10
Thalassemia	EMEXP2757	5	8	4	5
ThyroidCancer	GSE33630	45	35	15	10
ThyroidCancer	GSE65144	4	5	8	7
TibialMuscularDystrophy	GSE42806	0	0	7	5
Trachoma	GSE20436	12	9	28	11
Training	GSE27536	2	2	10	10
TurnerSyndrome	GSE46687	26	10	0	0
TypeIDiabetes	GSE55098	5	8	7	2
TypeIDiabetes	GSE7014	6	2	4	4
TypeIIDiabetes	EMEXP2559	0	0	5	15
TypeIIDiabetes	GSE19420	0	0	18	24
TypeIIDiabetes	GSE23343	4	3	6	4
TypeIIDiabetes	GSE7014	11	2	9	4
UlcerativeColitis	GSE38713	15	9	7	4
Uremia	GSE37171	28	7	33	12
